,Exam,Organisation,Qualification,Salary,Minage,Maxage,Allowance,ExamMode,Fee,Level,Ptest,Website,Fields,Attempts,Pattempts,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
120,Senior Technician (Group B),NTA,Degree,Rs 35400 - 112400,NIL,45,NIL,NIL,Rs 1600,Written /interview,NIL,jobs.nta.ac.in,NIL,NIL,NIL,,,,,,,
121,Assistant account(Group c),NTA,Degree,NIL,NIL,45,NIL,NIL,Rs 1600,Written /interview,NIL,jobs.nta.ac.in,NIL,NIL,NIL,,,,,,,
122,Junior Assistant Accounts(Group C),NTA,Degree,NIL,NIL,45,NIL,NIL,Rs 1600,Written /interview,NIL,jobs.nta.ac.in,NIL,NIL,NIL,,,,,,,
123,Junior Technical (Group C),NTA,Degree,NIL,NIL,45,NIL,NIL,Rs 1600,Written /interview,NIL,jobs.nta.ac.in,NIL,NIL,NIL,,,,,,,
124,Junior Technical Officer,IITM,Degree,Rs 44900 - 142400,NIL,30,NIL,NIL,NIL,Interview,NIL,www.tropmet.res.in,NIL,NIL,NIL,,,,,,,
125,Upper Division clerk ,IITM,Degree,Rs 25500 - 81100,NIL,28,NIL,NIL,NIL,"Written test ,computer knowledge test ",NIL,www.tropmet.res.in,NIL,NIL,NIL,,,,,,,
126,Mechanic Grade ,IITM,Diploma,Rs 19900 - 63200 ,NIL,25,NIL,NIL,NIL,Written test &skill test,NIL,www.tropmet.res.in,NIL,NIL,NIL,,,,,,,
127,Junior Manager (Operation),FSNL,Degree,Rs 40000,NIL,30,NIL,NIL,Rs 500,Interview,NIL,www.fsnl.co.in,NIL,NIL,NIL,,,,,,,
128,Junior Manager (Maintainence) Mechanical,FSNL,Degree,Rs 40000,NIL,30,NIL,NIL,Rs 500,Interview,NIL,www.fsnl.co.in,NIL,NIL,NIL,,,,,,,
129,Junior Manager (Maintainence) Electrical,FSNL,Degree,Rs 40000,NIL,30,NIL,NIL,Rs 500,Interview,NIL,www.fsnl.co.in,NIL,NIL,NIL,,,,,,,
130,Junior Manager (Materials management),FSNL,Degree,Rs 40000,NIL,30,NIL,NIL,Rs 500,Interview,NIL,www.fsnl.co.in,NIL,NIL,NIL,,,,,,,
131,Junior Manager(Finance&accounts),FSNL,Degree,Rs 40000,NIL,30,NIL,NIL,Rs 500,Interview,NIL,www.fsnl.co.in,NIL,NIL,NIL,,,,,,,
132,Junior Manager(Personal & Administration),FSNL,Degree,Rs 40000,NIL,30,NIL,NIL,Rs 500,Interview,NIL,www.fsnl.co.in,NIL,NIL,NIL,,,,,,,
133,Assistant General Manager (Personal & Administration),FSNL,Degree,Rs 90000,NIL,34,NIL,NIL,Rs 500,Interview,NIL,www.fsnl.co.in,NIL,NIL,NIL,,,,,,,
134,ITI,IRDE,Diploma,NIL,NIL,NIL,NIL,NIL,NIL,basics of Qualification,NIL,www.mhrdnats.gov.in,NIL,NIL,NIL,,,,,,,
135,Technician Apprentice ,IRDE,Diploma,NIL,NIL,NIL,NIL,NIL,NIL,basics of Qualification,NIL,www.mhrdnats.gov.in,NIL,NIL,NIL,,,,,,,
136,Technician (Vocation Training),IRDE,Diploma,NIL,NIL,NIL,NIL,NIL,NIL,basics of Qualification,NIL,www.mhrdnats.gov.in,NIL,NIL,NIL,,,,,,,
137,Graduate Apprentice,IRDE,Diploma,NIL,NIL,NIL,NIL,NIL,NIL,basics of Qualification,NIL,www.mhrdnats.gov.in,NIL,NIL,NIL,,,,,,,
